date,open,high,low,close,volume
2017-01-03,161.5,161.5,159.84,160.98,450236
2017-01-04,161.01,162.34,160.99,162.26,479349
2017-01-05,161.6,163.87,161.16,163.64,537515
2017-01-06,163.49,164.8,162.69,164.47,513850
2017-01-09,164.49,164.99,161.62,161.73,662874
2017-01-10,162.02,164.95,160.97,164.65,362956
2017-01-11,165.08,165.08,163.55,163.82,300160
2017-01-12,162.96,162.96,160.5,161.5,411430
2017-01-13,161.4,165.55,159.98,165.04,506500
2017-01-17,165.07,165.11,161.12,161.57,400956
2017-01-18,161.75,162.93,161.25,162.71,251579
2017-01-19,162.93,163.69,162.0,162.69,304863
2017-01-20,163.48,166.27,162.4,166.03,415790
2017-01-23,166.0,166.99,165.69,166.9,346789
2017-01-24,166.84,169.5,166.57,169.07,516046
2017-01-25,170.0,170.92,168.78,168.8,329184
2017-01-26,169.2,170.22,168.15,169.7,433128
2017-01-27,170.27,170.88,169.3,170.56,224506
2017-01-30,169.65,170.88,168.83,170.51,287488
2017-01-31,170.75,172.32,169.5,171.54,263178
2017-02-01,172.57,173.04,171.15,171.72,292980
2017-02-02,171.02,172.67,170.94,172.56,334622
2017-02-03,172.79,174.49,171.99,174.2,296204
2017-02-06,173.75,174.82,172.63,174.26,519997
2017-02-07,174.25,178.53,174.25,177.7,638715
2017-02-08,177.15,177.35,176.02,176.17,377807
2017-02-09,176.38,178.78,176.02,178.44,263991
2017-02-10,178.79,179.04,177.47,177.91,438725
2017-02-13,177.86,178.91,177.11,177.37,313997
2017-02-14,177.26,178.58,176.42,178.01,314443
2017-02-15,178.0,178.89,176.95,178.8,291165
2017-02-16,178.04,179.91,178.04,179.87,206166
2017-02-17,179.8,180.0,178.34,180.0,152591
2017-02-21,180.0,183.06,179.54,182.69,334737
2017-02-22,183.09,183.21,180.87,181.6,259544
2017-02-23,182.0,182.62,179.63,180.13,174688
2017-02-24,179.0,182.69,179.0,182.67,263796
2017-02-27,182.67,182.78,181.44,182.77,233244
2017-02-28,182.47,182.94,180.82,181.18,355861
2017-03-01,182.99,184.47,182.49,183.54,376914
2017-03-02,183.31,183.35,181.75,182.45,182490
2017-03-03,183.41,184.2,182.03,184.16,238509
2017-03-06,183.85,184.2,182.47,183.06,360357
2017-03-07,183.55,183.61,181.7,182.19,316819
2017-03-08,181.68,182.94,180.36,181.8,389212
2017-03-09,181.87,182.91,179.72,180.44,413132
2017-03-10,185.7,194.05,184.78,188.89,1500984
2017-03-13,190.32,190.32,186.78,187.05,606479
2017-03-14,187.04,187.09,185.19,185.88,456877
2017-03-15,186.68,187.95,185.52,186.91,482622
2017-03-16,187.68,187.68,185.68,186.23,299607
2017-03-17,187.0,189.84,186.43,189.0,634289
2017-03-20,189.0,189.29,187.6,188.93,270031
2017-03-21,188.96,189.52,184.65,185.06,436911
2017-03-22,184.58,187.25,183.85,187.16,329154
2017-03-23,188.32,189.63,187.27,188.75,221404
2017-03-24,188.72,189.34,187.02,187.53,302536
2017-03-27,185.02,188.17,184.12,188.04,267563
2017-03-28,187.65,190.12,187.17,189.9,267593
2017-03-29,189.92,189.96,188.68,189.41,284974
2017-03-30,189.37,192.79,189.37,190.03,461431
2017-03-31,190.15,192.53,190.11,191.9,273398
2017-04-03,192.35,192.69,189.75,190.33,266623
2017-04-04,190.19,192.03,189.22,191.91,354592
2017-04-05,192.53,192.78,189.71,189.95,273954
2017-04-06,190.35,192.08,189.2,191.17,217309
2017-04-07,191.02,192.16,189.82,189.84,257729
2017-04-10,190.63,190.63,188.22,188.87,228151
2017-04-11,188.67,190.0,188.15,189.91,284559
2017-04-12,189.94,190.25,188.29,188.58,188085
2017-04-13,188.18,188.62,186.44,186.61,194126
2017-04-17,186.68,189.91,186.68,189.86,160998
2017-04-18,190.0,191.35,189.3,191.16,154779
2017-04-19,192.17,193.99,191.45,192.62,205934
2017-04-20,193.33,194.37,191.99,193.96,173509
2017-04-21,194.24,194.79,192.7,193.6,205024
2017-04-24,195.28,195.57,194.09,195.18,248394
2017-04-25,195.7,196.72,195.22,195.44,200765
2017-04-26,195.91,199.26,195.59,199.14,534073
2017-04-27,198.83,200.92,198.38,199.11,270616
2017-04-28,199.87,199.87,196.76,197.66,246880
2017-05-01,197.72,199.91,197.12,198.87,309912
2017-05-02,198.66,199.11,197.11,198.87,229597
2017-05-03,198.55,199.03,197.43,198.92,231910
2017-05-04,198.98,199.9,197.77,199.37,187967
2017-05-05,200.53,202.04,199.94,201.44,192543
2017-05-08,201.48,201.48,198.28,199.24,324885
2017-05-09,200.33,200.33,198.12,199.82,210680
2017-05-10,199.6,201.77,199.6,201.19,185388
2017-05-11,200.54,201.97,199.48,201.36,161928
2017-05-12,201.0,201.07,199.54,199.76,174814
2017-05-15,199.79,200.39,199.54,199.79,227410
2017-05-16,201.15,202.29,199.96,201.92,409043
2017-05-17,200.64,200.64,198.94,199.15,319717
2017-05-18,198.8,200.66,197.29,198.75,449091
2017-05-19,200.02,202.76,199.38,202.0,473280
2017-05-22,202.28,204.72,201.64,204.34,342776
2017-05-23,204.0,206.73,204.0,205.93,353135
2017-05-24,206.44,207.12,204.97,205.43,323690
2017-05-25,206.6,207.51,205.55,205.91,277512
2017-05-26,205.61,208.57,205.61,208.57,324272
2017-05-30,208.6,210.45,208.02,210.25,494131
2017-05-31,210.84,214.61,209.99,213.9,1768353
2017-06-01,214.11,214.98,212.26,214.67,394623
2017-06-02,214.46,215.82,214.14,215.36,456884
2017-06-05,215.79,215.79,212.11,212.16,536898
2017-06-06,210.8,214.57,210.5,213.11,437918
2017-06-07,213.64,215.04,212.56,214.96,830077
2017-06-08,207.0,211.74,203.76,210.85,1076215
2017-06-09,211.11,212.23,201.23,202.1,955574
2017-06-12,201.02,203.37,199.53,202.31,649947
2017-06-13,202.81,205.96,202.76,205.2,367201
2017-06-14,205.2,206.79,202.64,204.3,338195
2017-06-15,202.98,205.46,201.63,205.38,287520
2017-06-16,205.59,209.21,205.59,209.21,500342
2017-06-19,210.2,211.6,209.39,211.4,380725
2017-06-20,211.0,211.99,208.96,209.71,329232
2017-06-21,210.21,211.59,208.55,210.42,338396
2017-06-22,210.52,211.7,208.99,210.65,287417
2017-06-23,210.58,212.6,209.01,211.28,271288
2017-06-26,211.11,211.82,208.53,209.24,253574
2017-06-27,208.92,208.92,205.35,205.49,222077
2017-06-28,206.38,206.54,205.36,205.66,258360
2017-06-29,205.64,205.64,199.17,201.18,452060
2017-06-30,200.98,203.68,200.98,202.83,248031
2017-07-03,203.3,203.77,200.15,200.23,159625
2017-07-05,200.0,200.96,198.05,199.86,449782
2017-07-06,199.06,199.57,197.48,199.09,245570
2017-07-07,199.7,202.83,199.32,202.18,559157
2017-07-10,202.27,204.08,201.35,203.05,225909
2017-07-11,202.65,203.05,201.08,202.74,237279
2017-07-12,203.9,206.65,203.56,206.0,293165
2017-07-13,205.91,205.91,203.12,204.23,270960
2017-07-14,204.8,204.96,203.39,203.78,209114
2017-07-17,204.28,205.39,203.83,204.33,178115
2017-07-18,204.34,204.7,202.74,203.98,180877
2017-07-19,204.03,206.3,204.03,206.02,167708
2017-07-20,206.24,206.85,205.18,206.11,162627
2017-07-21,206.81,209.54,206.56,208.43,265965
2017-07-24,209.09,210.65,208.49,209.91,322935
2017-07-25,210.81,211.03,209.15,209.87,221782
2017-07-26,209.98,213.8,209.98,212.75,250468
2017-07-27,213.21,213.41,210.85,211.18,209941
2017-07-28,210.73,213.29,210.45,211.93,161673
2017-07-31,211.93,212.38,210.56,210.76,175387
2017-08-01,211.99,212.86,211.61,211.92,365775
2017-08-02,212.06,212.84,209.8,210.85,271215
2017-08-03,210.95,212.89,210.5,212.72,213936
2017-08-04,213.35,214.4,212.6,213.68,188883
2017-08-07,214.42,214.47,212.94,213.73,214763
2017-08-08,213.7,214.71,211.66,213.64,168617
2017-08-09,213.28,215.94,212.17,212.72,284275
2017-08-10,211.77,213.2,210.61,212.13,164730
2017-08-11,210.72,214.59,210.72,213.67,161123
2017-08-14,215.19,219.04,215.19,218.61,284444
2017-08-15,218.78,219.36,217.3,217.42,218763
2017-08-16,217.43,221.93,217.24,221.55,274002
2017-08-17,221.08,222.08,219.27,219.55,218558
2017-08-18,219.4,221.6,218.52,220.21,203308
2017-08-21,220.37,221.29,219.42,219.91,202555
2017-08-22,220.35,223.3,220.35,222.38,300534
2017-08-23,221.93,223.43,221.46,221.98,198800
2017-08-24,223.16,223.16,220.5,220.78,183344
2017-08-25,221.32,222.5,220.94,221.73,154488
2017-08-28,222.25,222.77,217.41,218.65,381988
2017-08-29,217.66,219.95,217.66,219.41,198009
2017-08-30,219.48,224.35,219.48,223.82,341291
2017-08-31,224.68,228.16,223.86,227.95,277960
2017-09-01,228.32,230.0,227.02,228.39,188810
2017-09-05,227.98,228.57,224.38,226.35,233995
2017-09-06,226.85,227.4,225.64,226.3,183367
2017-09-07,227.19,227.39,225.02,225.75,156578
2017-09-08,225.91,229.16,225.31,227.73,191533
2017-09-11,229.34,231.9,229.34,230.38,260006
2017-09-12,230.77,232.38,229.76,230.47,208734
2017-09-13,230.25,230.75,228.85,229.87,177929
2017-09-14,229.4,229.4,228.08,228.52,187280
2017-09-15,228.47,228.73,226.76,227.04,306902
2017-09-18,227.55,229.48,227.08,228.28,195390
2017-09-19,229.0,230.32,228.63,230.03,262637
2017-09-20,230.37,231.0,228.81,228.98,164103
2017-09-21,229.02,230.02,227.72,229.76,264975
2017-09-22,229.14,232.42,229.14,232.28,213286
2017-09-25,232.28,232.71,228.5,229.12,228394
2017-09-26,229.81,229.91,224.97,224.99,510435
2017-09-27,226.72,229.19,226.32,228.04,528876
2017-09-28,226.5,227.53,218.14,221.79,1045429
2017-09-29,222.4,228.75,221.03,228.12,547472
2017-10-02,229.0,229.0,221.44,221.95,365243
2017-10-03,222.09,223.38,220.35,221.61,305070
2017-10-04,222.64,222.64,219.9,220.5,319293
2017-10-05,220.29,220.55,216.14,216.49,428655
2017-10-06,214.87,217.68,213.78,217.65,568601
2017-10-09,217.35,217.54,215.49,216.56,237884
2017-10-10,216.29,217.28,215.66,215.8,280580
2017-10-11,215.5,216.77,215.39,216.35,205119
2017-10-12,215.93,217.79,215.93,216.97,249741
2017-10-13,217.83,218.11,216.63,217.44,181977
2017-10-16,217.11,217.2,215.58,216.42,401404
2017-10-17,216.59,219.13,216.21,218.99,272697
2017-10-18,219.05,222.91,218.01,221.8,330507
