date,open,high,low,close,volume
2017-01-03,43.74,44.33,42.72,43.18,2896301
2017-01-04,43.45,43.91,43.35,43.8,1907508
2017-01-05,43.92,44.27,42.66,43.09,2106036
2017-01-06,43.3,43.73,43.11,43.37,2149119
2017-01-09,43.12,43.29,42.32,42.9,2105024
2017-01-10,43.12,43.79,42.87,43.56,1839566
2017-01-11,43.67,43.92,43.14,43.92,2102743
2017-01-12,43.65,43.89,42.44,42.97,2758249
2017-01-13,43.29,44.32,43.03,43.85,2732528
2017-01-17,43.25,43.27,41.65,41.77,2889759
2017-01-18,42.15,42.52,41.42,42.48,2142374
2017-01-19,42.59,42.95,42.04,42.31,1778526
2017-01-20,42.49,42.9,42.2,42.46,2370981
2017-01-23,42.21,42.61,41.95,42.31,2628297
2017-01-24,42.42,42.94,41.36,42.56,4064768
2017-01-25,43.03,43.66,42.93,43.28,2584589
2017-01-26,43.39,43.91,43.07,43.47,2711874
2017-01-27,43.34,43.37,42.76,43.12,1972105
2017-01-30,42.83,43.04,41.71,42.26,3518197
2017-01-31,42.18,42.84,41.82,42.19,2542086
2017-02-01,42.69,43.3,42.36,42.46,2501669
2017-02-02,41.88,42.34,41.58,41.77,2827504
2017-02-03,42.49,43.38,42.13,43.31,3350623
2017-02-06,42.9,43.52,42.55,42.97,1410259
2017-02-07,43.05,43.26,42.68,42.82,1741482
2017-02-08,42.52,42.57,41.81,42.17,1748126
2017-02-09,42.47,43.21,42.25,43.15,2011134
2017-02-10,43.43,43.67,43.1,43.57,2458778
2017-02-13,43.87,44.6,43.75,44.08,2197544
2017-02-14,44.03,45.21,43.83,45.08,2456460
2017-02-15,45.33,45.52,45.05,45.3,2690844
2017-02-16,45.12,45.34,44.48,44.9,1977376
2017-02-17,44.48,44.78,44.13,44.65,1185303
2017-02-21,44.85,45.21,44.47,44.89,1726311
2017-02-22,44.55,45.13,44.48,44.74,2276176
2017-02-23,44.84,44.97,44.39,44.82,1960399
2017-02-24,44.18,44.55,44.0,44.55,3605293
2017-02-27,44.65,45.24,44.51,45.11,2298903
2017-02-28,44.93,45.16,44.7,44.9,2485994
2017-03-01,48.33,48.33,45.95,46.53,3320662
2017-03-02,46.67,46.69,44.96,44.96,2925913
2017-03-03,44.95,45.57,44.75,45.36,2686381
2017-03-06,45.03,45.43,44.69,45.33,1706120
2017-03-07,45.4,45.68,44.97,45.28,1738722
2017-03-08,45.84,46.3,45.16,45.26,3154365
2017-03-09,45.35,45.76,45.03,45.28,1963227
2017-03-10,45.56,45.56,44.29,44.91,2432236
2017-03-13,44.88,45.35,44.65,45.03,1631996
2017-03-14,44.71,44.72,43.68,44.49,2488190
2017-03-15,44.71,45.09,43.99,44.07,2893891
2017-03-16,44.37,44.62,44.09,44.36,1802727
2017-03-17,44.41,44.57,43.54,43.76,4240048
2017-03-20,43.65,43.75,43.18,43.19,2321970
2017-03-21,43.47,43.52,40.74,40.84,4855426
2017-03-22,40.58,41.13,39.56,40.73,3151593
2017-03-23,40.73,41.59,40.31,40.89,2953776
2017-03-24,41.04,41.23,40.41,40.91,2824945
2017-03-27,39.8,40.9,39.09,40.78,3237524
2017-03-28,40.53,41.6,40.31,41.3,2392388
2017-03-29,41.66,41.66,40.93,41.32,2055876
2017-03-30,41.46,42.59,41.28,42.38,3212227
2017-03-31,42.1,42.59,41.83,42.0,2575231
2017-04-03,42.0,42.26,41.07,41.77,2539601
2017-04-04,41.5,41.9,41.37,41.66,2080527
2017-04-05,42.04,42.4,40.98,41.05,2554213
2017-04-06,41.1,41.64,40.62,41.5,2290303
2017-04-07,41.14,41.79,40.87,41.52,2124547
2017-04-10,41.46,41.79,40.74,40.93,1931893
2017-04-11,40.72,40.96,40.07,40.94,2931635
2017-04-12,40.98,41.02,40.06,40.19,3286569
2017-04-13,39.87,40.52,39.43,39.45,2627819
2017-04-17,39.51,40.21,39.22,40.18,2241351
2017-04-18,39.81,40.29,39.35,39.83,2300718
2017-04-19,40.29,40.51,39.76,39.98,2711643
2017-04-20,40.3,41.2,40.17,41.08,2966198
2017-04-21,40.95,41.19,40.58,40.85,2229658
2017-04-24,42.09,42.42,41.57,41.96,4472973
2017-04-25,40.91,41.62,40.45,40.49,6950648
2017-04-26,40.5,41.64,40.46,41.18,3849578
2017-04-27,41.3,41.3,40.25,40.66,2742601
2017-04-28,40.74,40.81,39.99,40.03,3811586
2017-05-01,40.25,40.88,39.97,40.52,2902631
2017-05-02,40.56,40.99,39.7,39.98,2636845
2017-05-03,39.79,40.68,39.73,40.58,2503531
2017-05-04,41.1,41.43,40.63,40.67,3267435
2017-05-05,40.89,40.89,40.46,40.75,2355868
2017-05-08,40.75,41.35,40.72,41.2,2644830
2017-05-09,41.3,41.59,40.73,40.93,2070195
2017-05-10,40.71,41.01,40.46,40.94,2405730
2017-05-11,40.74,40.88,40.04,40.4,1850013
2017-05-12,40.0,40.24,39.67,40.15,2112303
2017-05-15,40.35,40.69,40.24,40.54,3046847
2017-05-16,40.73,40.89,40.12,40.66,3796783
2017-05-17,39.71,39.92,38.43,38.99,4024321
2017-05-18,38.88,39.87,38.86,39.58,2866254
2017-05-19,39.72,40.71,39.58,40.1,3936230
2017-05-22,40.2,40.65,39.91,40.21,3095989
2017-05-23,40.23,41.44,40.18,41.34,3029692
2017-05-24,41.01,41.16,40.32,40.7,2568271
2017-05-25,40.82,41.19,40.53,40.88,3933324
2017-05-26,40.89,41.2,40.41,40.45,2195873
2017-05-30,40.13,40.32,39.6,39.87,3259419
2017-05-31,39.98,40.42,39.34,40.07,13834673
2017-06-01,40.48,40.55,39.73,40.55,2667319
2017-06-02,39.86,40.43,39.62,40.1,2848963
2017-06-05,40.29,41.17,40.1,40.46,3186616
2017-06-06,40.02,40.51,39.74,40.26,3676651
2017-06-07,40.37,40.63,40.25,40.46,2284144
2017-06-08,40.43,42.04,40.35,41.39,3653297
2017-06-09,41.81,42.53,41.5,42.34,3191112
2017-06-12,42.26,43.25,42.26,42.93,4060483
2017-06-13,43.14,43.57,42.8,43.13,2556470
2017-06-14,42.5,43.27,42.1,43.23,2643338
2017-06-15,43.0,43.46,42.75,42.87,1873836
2017-06-16,42.89,43.26,42.73,43.09,3442457
2017-06-19,43.67,43.81,43.18,43.36,1561840
2017-06-20,43.12,43.35,42.87,42.96,2508086
2017-06-21,43.03,43.23,42.25,42.33,2123624
2017-06-22,42.26,42.43,41.71,42.3,1825986
2017-06-23,42.6,42.84,41.83,41.93,2095947
2017-06-26,42.06,42.6,41.9,42.34,1468494
2017-06-27,42.56,43.08,42.5,42.54,2057587
2017-06-28,42.78,43.49,42.78,42.97,3828501
2017-06-29,44.41,44.85,43.38,43.99,4443808
2017-06-30,44.14,44.21,43.41,43.91,2047450
2017-07-03,44.24,45.09,43.97,44.73,1435334
2017-07-05,44.76,44.83,44.12,44.74,2217860
2017-07-06,44.76,44.87,44.07,44.12,2077441
