date,open,high,low,close,volume
2017-01-03,84.19,84.58,83.22,84.06,645117
2017-01-04,84.24,85.62,84.15,85.28,685545
2017-01-05,84.88,85.96,84.25,85.2,921529
2017-01-06,85.0,85.45,84.62,84.8,786494
2017-01-09,84.91,84.95,83.95,84.01,334508
2017-01-10,83.83,83.83,82.68,82.69,650854
2017-01-11,82.81,82.98,82.02,82.22,436562
2017-01-12,82.17,82.39,81.02,82.08,895244
2017-01-13,82.0,82.72,81.83,81.96,494006
2017-01-17,82.2,83.0,81.5,82.59,406305
2017-01-18,82.69,83.36,82.33,82.88,307994
2017-01-19,82.42,82.85,81.93,82.59,453765
2017-01-20,82.31,83.92,82.31,82.98,616712
2017-01-23,82.54,83.0,82.16,82.85,602814
2017-01-24,82.97,83.52,82.57,83.24,439295
2017-01-25,82.92,83.27,82.5,82.88,327289
2017-01-26,83.03,83.54,82.6,83.28,467742
2017-01-27,83.47,83.56,82.26,82.82,441086
2017-01-30,82.59,83.14,82.06,82.29,426270
2017-01-31,82.58,84.04,82.19,83.57,673698
2017-02-01,83.13,83.75,81.46,81.57,752059
2017-02-02,81.92,84.22,81.74,84.01,696649
2017-02-03,84.89,84.89,83.37,83.67,451453
2017-02-06,83.58,84.58,83.28,84.43,595613
2017-02-07,84.34,84.82,83.9,84.12,524978
2017-02-08,82.43,83.47,81.63,82.15,1409835
2017-02-09,82.33,82.87,82.1,82.21,1089646
2017-02-10,81.9,82.59,81.9,82.12,1005455
2017-02-13,82.12,82.44,80.68,81.67,908351
2017-02-14,81.17,81.84,80.58,81.38,1145942
2017-02-15,81.08,81.49,80.25,80.89,622432
2017-02-16,81.22,82.05,81.07,81.87,647203
2017-02-17,82.2,82.8,81.87,82.07,596568
2017-02-21,81.92,83.13,81.33,83.03,373238
2017-02-22,83.15,83.19,81.84,82.77,235592
2017-02-23,83.22,83.95,82.85,83.83,323540
2017-02-24,83.84,84.3,83.3,84.24,398812
2017-02-27,84.45,85.17,83.97,84.94,295682
2017-02-28,85.0,85.32,84.57,84.65,614558
2017-03-01,84.11,84.64,83.53,83.73,1110098
2017-03-02,83.49,83.68,82.51,82.62,679358
2017-03-03,82.6,82.75,81.27,81.72,1000529
2017-03-06,81.63,81.76,81.0,81.34,844320
2017-03-07,81.41,81.41,80.51,81.04,945844
2017-03-08,80.81,81.21,79.75,79.9,727285
2017-03-09,79.98,80.64,78.97,79.06,545650
2017-03-10,80.17,80.76,78.38,79.4,698296
2017-03-13,79.5,79.87,78.73,79.09,610794
2017-03-14,79.09,79.71,78.81,79.45,353201
2017-03-15,79.49,81.62,79.46,81.35,758209
