date,open,high,low,close,volume
2017-01-03,90.35,90.8,87.98,88.69,266555
2017-01-04,89.12,90.64,89.12,90.36,218770
2017-01-05,89.9,90.14,87.89,88.48,146606
2017-01-06,89.12,89.93,88.53,88.92,148848
2017-01-09,88.5,88.64,87.25,87.72,192930
2017-01-10,87.76,89.26,87.51,88.64,195062
2017-01-11,88.41,89.25,88.08,89.01,376636
2017-01-12,88.29,88.61,86.18,87.36,372365
2017-01-13,88.22,90.2,88.21,89.46,246286
2017-01-17,88.62,88.62,86.4,86.47,210706
2017-01-18,86.88,87.17,85.68,87.16,178775
2017-01-19,87.4,87.55,86.1,87.03,174185
2017-01-20,87.17,88.68,87.17,88.27,516300
2017-01-23,87.92,88.52,85.82,86.33,341859
2017-01-24,87.09,88.54,86.3,88.12,310675
2017-01-25,89.23,89.39,87.88,88.39,396310
2017-01-26,88.72,89.02,88.0,88.37,273686
2017-01-27,88.2,88.59,87.34,88.19,179774
2017-01-30,87.28,87.28,86.1,87.18,242170
2017-01-31,86.64,87.29,85.62,85.91,410324
2017-02-01,87.1,87.59,84.09,84.17,432778
2017-02-02,83.71,84.17,82.75,82.97,350102
2017-02-03,84.59,85.19,83.86,84.71,379614
2017-02-06,83.82,85.14,83.82,84.0,195271
2017-02-07,84.5,84.6,83.22,83.59,215819
2017-02-08,83.06,83.07,81.97,82.77,248588
2017-02-09,83.17,84.47,83.06,83.93,147417
2017-02-10,84.38,84.8,83.71,83.78,173251
2017-02-13,84.36,84.98,83.82,84.26,269055
2017-02-14,84.15,85.11,83.91,84.68,394291
2017-02-15,85.2,85.4,84.53,85.23,136380
2017-02-16,85.17,85.59,84.4,85.0,342662
2017-02-17,84.02,84.92,83.74,84.71,196649
2017-02-21,84.77,85.43,84.23,85.1,234540
2017-02-22,84.83,85.65,84.5,85.39,161246
2017-02-23,85.32,85.9,84.61,85.9,281332
2017-02-24,84.1,84.96,84.01,84.94,132023
2017-02-27,84.82,85.75,84.62,85.58,205488
2017-02-28,84.88,85.5,84.04,84.46,293145
2017-03-01,86.0,87.37,85.93,87.1,401831
2017-03-02,87.12,87.59,85.13,85.19,274796
2017-03-03,85.53,86.19,84.98,85.41,193863
2017-03-06,84.67,85.64,84.4,85.08,145050
2017-03-07,84.94,85.5,84.43,84.67,150979
2017-03-08,86.06,86.1,83.94,83.97,183909
2017-03-09,84.39,85.04,83.59,83.84,160417
2017-03-10,84.4,84.81,82.44,83.42,221795
2017-03-13,83.21,84.97,82.5,84.61,273943
2017-03-14,83.92,84.74,83.57,84.49,187204
2017-03-15,84.98,85.5,83.94,84.09,372089
2017-03-16,84.41,85.43,84.17,85.17,185240
2017-03-17,85.16,85.25,83.94,85.03,1057823
2017-03-20,84.71,85.16,83.59,83.64,126493
2017-03-21,84.17,84.17,79.0,79.68,394535
2017-03-22,78.82,79.74,77.88,78.57,397671
2017-03-23,78.48,80.18,78.18,79.06,211794
2017-03-24,79.37,79.78,78.65,79.41,179275
2017-03-27,77.66,79.49,77.03,79.45,197512
2017-03-28,79.08,80.81,78.98,80.42,158207
2017-03-29,80.19,80.29,79.53,80.02,165148
2017-03-30,80.01,83.08,80.01,82.98,197136
2017-03-31,82.72,82.95,81.96,82.36,192209
2017-04-03,82.79,82.89,80.79,81.49,184935
2017-04-04,81.16,81.93,80.6,81.07,173775
2017-04-05,82.12,82.19,79.35,79.4,182275
2017-04-06,79.26,80.61,78.78,80.26,154646
2017-04-07,79.32,80.73,79.32,80.35,214596
2017-04-10,80.48,80.89,79.16,79.7,138468
2017-04-11,79.28,80.57,78.94,80.54,273581
2017-04-12,80.44,81.6,79.02,79.33,216411
2017-04-13,78.75,79.57,77.51,77.57,177803
2017-04-17,77.74,79.51,77.28,79.42,128876
2017-04-18,78.57,79.67,78.03,79.0,150091
2017-04-19,79.68,80.58,79.41,79.74,129571
2017-04-20,80.18,81.19,79.75,80.96,173486
2017-04-21,80.62,81.56,80.33,81.19,209273
2017-04-24,84.99,84.99,81.82,82.52,290751
2017-04-25,83.34,83.9,82.52,82.56,258374
2017-04-26,82.06,84.18,81.99,83.25,260699
2017-04-27,83.39,83.64,82.32,83.08,213658
2017-04-28,83.05,83.82,81.43,81.48,183964
2017-05-01,81.79,82.58,80.9,82.4,138524
2017-05-02,81.76,82.45,81.19,82.1,151218
2017-05-03,81.3,82.93,81.24,82.76,126884
2017-05-04,83.45,84.04,82.86,83.33,163393
2017-05-05,83.28,83.57,82.22,82.57,144048
2017-05-08,82.58,82.78,81.84,82.56,106952
2017-05-09,82.49,82.79,81.07,81.52,140650
2017-05-10,81.46,81.91,80.94,81.71,91235
2017-05-11,81.14,81.5,79.96,80.48,148348
2017-05-12,79.75,80.13,79.27,80.07,119583
2017-05-15,80.34,81.06,80.31,80.81,112526
2017-05-16,80.88,80.88,79.71,80.58,104694
2017-05-17,78.38,79.47,77.07,77.57,249937
2017-05-18,77.41,78.55,77.2,78.12,158778
2017-05-19,78.2,78.94,77.91,78.39,121587
2017-05-22,78.67,79.06,78.1,78.65,105600
2017-05-23,78.78,80.01,78.07,79.67,133425
2017-05-24,79.75,79.82,78.77,79.03,161707
2017-05-25,79.12,79.6,78.58,79.06,142200
2017-05-26,78.18,78.79,78.04,78.27,84845
2017-05-30,77.99,78.18,77.01,77.73,120998
2017-05-31,77.85,78.6,76.63,77.73,235490
