date,open,high,low,close,volume
2017-01-03,142.2,144.25,140.83,142.55,1115090
2017-01-04,142.5,143.2,141.9,142.64,637928
2017-01-05,142.35,142.67,139.92,141.37,557915
2017-01-06,141.91,142.4,141.06,141.49,727481
2017-01-09,141.54,142.15,140.37,140.78,519298
2017-01-10,141.16,142.05,140.74,141.83,721880
2017-01-11,142.01,145.34,141.29,145.21,1441611
2017-01-12,144.5,144.61,141.68,143.75,1231389
2017-01-13,144.7,146.34,144.31,146.25,947210
2017-01-17,145.4,145.46,143.55,143.62,1624213
2017-01-18,143.82,145.44,143.64,144.4,801974
2017-01-19,144.39,145.52,143.17,143.75,1174563
2017-01-20,144.46,144.5,142.44,142.52,1350264
2017-01-23,142.5,142.82,141.06,142.5,998379
2017-01-24,142.9,146.17,142.73,145.48,781069
2017-01-25,146.04,149.88,145.79,149.52,1634587
2017-01-26,149.07,149.98,148.03,149.1,1117255
2017-01-27,149.53,150.14,148.97,149.27,717201
2017-01-30,148.9,148.9,145.85,147.33,983040
2017-01-31,146.86,147.52,144.82,147.13,1345900
2017-02-01,147.15,148.1,145.09,145.45,1423224
2017-02-02,148.98,152.87,148.04,149.75,2040301
2017-02-03,150.69,151.15,149.15,150.21,1072979
2017-02-06,149.62,150.11,148.05,148.65,945038
2017-02-07,150.43,150.43,147.59,147.97,1342330
2017-02-08,146.89,147.63,145.38,147.45,1372409
2017-02-09,147.79,149.52,147.37,149.37,1002748
2017-02-10,149.76,150.33,149.05,150.25,1058958
2017-02-13,151.01,153.13,151.0,152.46,1625161
2017-02-14,151.95,152.83,150.95,152.63,836285
2017-02-15,153.64,156.44,153.07,155.49,1762902
2017-02-16,155.47,155.75,153.43,154.41,823166
2017-02-17,153.7,154.38,152.53,153.89,1079012
2017-02-21,154.12,155.96,154.0,155.62,921215
2017-02-22,156.49,156.84,155.49,155.86,1058473
2017-02-23,156.48,156.48,152.89,153.7,702170
2017-02-24,152.51,155.11,151.77,155.04,647660
2017-02-27,154.84,156.27,154.2,156.14,690805
2017-02-28,155.8,156.62,154.7,154.84,1090318
2017-03-01,156.94,159.05,155.03,158.44,1410446
2017-03-02,158.31,159.04,156.83,157.09,1159294
2017-03-03,157.01,157.33,155.95,157.06,765980
2017-03-06,155.94,158.09,155.87,157.93,965269
2017-03-07,158.0,158.43,156.84,157.49,1044375
2017-03-08,157.67,159.36,157.56,157.65,1164925
2017-03-09,157.36,158.16,155.25,156.29,879802
2017-03-10,157.75,158.75,156.16,157.32,1392518
2017-03-13,157.88,159.07,157.06,158.08,1055574
2017-03-14,157.31,157.76,156.14,157.05,742445
2017-03-15,157.9,160.08,157.72,159.58,822128
2017-03-16,160.08,160.23,157.71,158.24,1182429
2017-03-17,158.35,159.51,157.88,159.1,1806854
2017-03-20,159.18,159.38,157.82,158.24,833700
2017-03-21,159.2,159.69,156.48,156.9,1262438
2017-03-22,157.13,157.77,156.1,157.55,1019448
2017-03-23,157.63,158.71,156.7,158.0,872406
2017-03-24,158.03,158.55,156.05,156.69,1111095
2017-03-27,154.86,156.32,152.62,155.65,976323
2017-03-28,155.57,159.03,155.09,158.43,958728
2017-03-29,158.55,159.86,157.93,158.97,921038
2017-03-30,158.73,160.66,158.57,160.05,582838
2017-03-31,159.35,161.23,159.02,160.32,739624
2017-04-03,160.17,161.3,158.16,159.61,1007657
2017-04-04,159.49,160.93,158.84,160.25,712251
2017-04-05,160.98,163.14,159.6,159.81,856240
2017-04-06,160.13,161.41,159.63,160.23,756666
2017-04-07,160.28,161.62,160.19,161.02,911832
2017-04-10,161.23,162.64,160.28,160.35,1082495
2017-04-11,159.88,160.84,158.75,160.81,945642
2017-04-12,161.14,161.57,155.21,155.42,2024386
2017-04-13,154.58,156.08,153.47,153.59,1309947
2017-04-17,154.6,155.88,153.65,155.72,1058192
2017-04-18,154.55,156.49,154.39,155.76,1155611
2017-04-19,156.56,156.7,154.17,154.82,915717
2017-04-20,156.03,157.74,155.21,157.07,1011246
2017-04-21,157.33,157.76,156.0,156.31,1053920
2017-04-24,159.0,160.82,158.87,160.61,1319160
2017-04-25,161.76,165.6,161.57,165.22,2121778
2017-04-26,164.89,165.95,163.55,164.54,1784897
2017-04-27,165.51,166.6,159.45,161.98,2452209
2017-04-28,162.17,163.0,160.22,160.8,2074861
2017-05-01,161.29,161.29,157.97,158.93,1632120
2017-05-02,159.05,159.85,158.23,159.39,1487702
2017-05-03,158.49,159.81,158.31,159.65,993867
2017-05-04,160.03,160.28,157.92,159.79,1149908
2017-05-05,160.03,160.5,157.79,159.2,1542228
2017-05-08,158.82,159.53,158.24,159.29,746850
2017-05-09,159.45,159.87,158.62,159.25,509722
2017-05-10,159.36,159.79,158.41,159.17,874078
2017-05-11,158.56,159.47,157.3,159.03,638406
2017-05-12,158.37,158.75,156.2,156.68,826937
2017-05-15,157.29,157.67,155.55,156.53,1181090
2017-05-16,156.95,157.08,155.13,156.47,713453
2017-05-17,154.94,155.11,152.8,152.91,1213794
2017-05-18,152.73,153.26,151.17,152.29,1817446
2017-05-19,153.47,158.28,153.07,157.21,1598718
2017-05-22,158.01,158.73,156.82,157.96,1070824
2017-05-23,158.17,158.75,156.9,158.05,984537
2017-05-24,158.31,160.27,157.85,159.52,1023935
2017-05-25,159.86,160.49,158.36,159.04,847367
2017-05-26,159.04,159.61,158.55,159.26,504700
2017-05-30,158.38,159.64,158.07,159.33,636956
2017-05-31,159.36,159.43,156.86,157.47,1408034
2017-06-01,158.24,159.95,157.4,159.39,993762
2017-06-02,159.12,161.24,158.89,160.24,740266
2017-06-05,160.11,160.11,157.0,157.08,1192210
2017-06-06,156.12,156.77,154.68,155.79,946047
2017-06-07,156.25,156.25,152.1,152.68,1609716
2017-06-08,152.91,155.34,152.01,154.53,1784325
2017-06-09,155.12,158.17,155.12,157.04,926085
2017-06-12,157.09,158.12,156.0,157.13,848099
2017-06-13,157.03,158.57,156.72,158.45,717498
2017-06-14,158.67,158.67,156.38,157.09,847836
2017-06-15,155.71,159.5,155.21,159.36,1157094
2017-06-16,159.85,162.63,159.1,162.61,1812618
2017-06-19,163.6,165.17,162.88,164.35,774861
2017-06-20,163.32,164.22,162.79,163.53,1120760
2017-06-21,162.81,162.94,157.9,158.11,1584122
2017-06-22,158.38,158.64,157.0,157.4,1241080
2017-06-23,157.14,159.8,156.92,159.63,3954702
2017-06-26,159.64,160.15,156.38,157.07,1164872
2017-06-27,157.16,157.6,156.1,156.22,883308
2017-06-28,157.44,158.39,156.73,158.01,1052312
2017-06-29,158.53,158.53,155.56,157.05,1462660
2017-06-30,157.83,162.4,157.75,159.82,1474397
2017-07-03,160.57,162.04,159.58,161.22,484847
2017-07-05,161.06,162.31,160.49,161.14,897300
2017-07-06,160.0,161.3,159.13,159.45,791564
2017-07-07,159.71,161.33,159.37,160.9,973761
2017-07-10,160.35,164.09,159.37,163.35,799105
2017-07-11,163.65,163.68,161.42,163.12,1225698
2017-07-12,164.26,165.56,163.66,163.8,850481
2017-07-13,163.73,165.12,163.46,164.84,934783
2017-07-14,165.22,165.46,164.21,165.06,676518
2017-07-17,164.96,166.84,164.67,165.97,1146741
2017-07-18,165.68,166.05,164.39,165.26,550662
2017-07-19,166.06,166.85,164.46,166.76,556048
2017-07-20,166.76,167.12,165.72,165.96,656405
2017-07-21,164.92,165.09,162.56,164.54,1057445
2017-07-24,164.55,164.9,162.43,164.4,763834
