date,open,high,low,close,volume
2017-01-03,53.62,53.74,52.54,53.33,6503596
2017-01-04,53.7,55.0,53.52,54.98,5336739
2017-01-05,55.18,55.77,55.02,55.08,3978718
2017-01-06,54.85,55.63,54.58,55.47,3248929
2017-01-09,56.13,56.32,55.55,55.71,4362957
2017-01-10,56.0,57.46,55.64,56.61,5579161
2017-01-11,56.68,56.72,55.15,55.69,3669712
2017-01-12,55.74,55.98,54.86,55.46,2608142
2017-01-13,55.4,55.8,55.15,55.28,2033921
2017-01-17,55.09,56.74,55.07,55.99,4807941
2017-01-18,56.3,56.41,55.56,56.04,2761737
2017-01-19,56.1,56.42,55.69,55.84,2023704
2017-01-20,55.85,56.21,55.55,55.74,2193390
2017-01-23,55.82,56.4,55.31,55.47,3423031
2017-01-24,55.72,56.05,55.36,55.96,3941754
2017-01-25,56.44,56.75,56.05,56.65,5757194
2017-01-26,54.71,55.39,51.9,52.41,17091786
2017-01-27,52.75,53.78,52.7,53.32,8064253
2017-01-30,53.0,53.5,52.64,52.8,4023383
2017-01-31,52.72,53.03,52.27,52.58,3394444
2017-02-01,52.19,52.26,51.47,51.75,5836274
2017-02-02,51.76,51.95,51.55,51.69,3946031
2017-02-03,51.9,52.25,51.71,51.81,3640258
2017-02-06,52.17,52.45,51.83,51.98,2458467
2017-02-07,51.94,52.01,51.51,51.94,2848839
2017-02-08,51.81,52.37,51.63,52.14,2913050
2017-02-09,52.2,53.28,52.2,52.93,5184907
2017-02-10,53.27,53.31,52.65,52.74,2378363
2017-02-13,52.85,53.35,52.65,53.16,2892978
2017-02-14,53.8,54.26,52.78,53.06,3362657
2017-02-15,53.1,53.24,52.73,53.0,2811212
2017-02-16,53.1,53.1,52.13,52.51,4684328
2017-02-17,52.15,52.42,51.85,52.03,3044982
2017-02-21,52.19,52.3,51.83,52.04,2277725
2017-02-22,52.04,52.21,51.69,51.97,2108607
2017-02-23,52.08,52.36,51.7,51.77,2412701
2017-02-24,51.51,52.2,51.35,52.17,2432316
2017-02-27,52.17,52.98,51.9,52.91,3463389
2017-02-28,52.91,53.4,52.8,52.95,3081901
2017-03-01,54.65,55.33,54.43,54.96,7705929
2017-03-02,54.9,54.9,53.31,53.66,5064372
2017-03-03,53.53,53.91,53.08,53.84,3176013
2017-03-06,53.71,54.52,53.68,54.31,2974516
2017-03-07,54.25,54.36,53.85,54.3,3265094
2017-03-08,54.27,54.62,53.95,53.98,2274403
2017-03-09,53.95,54.2,53.38,53.75,2444767
2017-03-10,53.97,54.45,53.95,54.21,2582441
2017-03-13,54.39,55.44,54.38,55.17,3961733
2017-03-14,55.16,56.07,55.0,55.56,3706116
2017-03-15,55.7,56.28,55.31,56.1,3603271
2017-03-16,56.01,56.74,55.19,56.52,5761466
2017-03-17,56.66,57.5,56.42,57.17,5484102
2017-03-20,57.48,57.92,57.13,57.36,5675523
2017-03-21,56.65,57.5,55.8,55.92,4341338
2017-03-22,55.74,56.25,55.63,55.86,2998657
2017-03-23,55.8,56.11,55.5,55.59,2609792
2017-03-24,55.97,55.97,55.23,55.62,1999420
2017-03-27,55.03,56.95,54.71,56.63,3301554
2017-03-28,56.65,57.45,56.55,56.93,2985608
2017-03-29,56.72,57.34,56.7,57.25,2836418
2017-03-30,57.3,57.54,57.0,57.03,2469550
2017-03-31,56.76,57.22,56.59,57.07,1973788
2017-04-03,57.98,58.48,56.83,57.18,6519597
2017-04-04,56.97,57.06,56.39,56.67,2889303
2017-04-05,56.96,57.33,56.1,56.17,3583459
2017-04-06,56.2,57.05,56.14,56.68,2761469
2017-04-07,56.56,56.9,56.04,56.2,3132126
2017-04-10,56.26,56.28,55.18,55.56,4896072
2017-04-11,55.7,56.29,55.42,56.15,2868201
2017-04-12,56.26,56.73,56.12,56.51,2674760
2017-04-13,56.5,56.94,55.72,55.9,2513709
2017-04-17,55.94,56.77,55.7,56.44,3024796
2017-04-18,56.16,57.05,56.07,56.87,3170848
2017-04-19,56.83,56.88,56.32,56.69,2637518
2017-04-20,57.1,57.94,56.85,57.77,3622289
2017-04-21,57.77,57.77,56.96,57.38,2722726
2017-04-24,57.84,58.0,57.19,57.65,2941966
2017-04-25,57.89,58.82,57.83,58.47,3674029
2017-04-26,59.6,59.6,58.73,59.26,7849493
2017-04-27,57.74,59.85,57.31,59.2,7873273
2017-04-28,59.31,59.5,58.64,58.99,4141388
2017-05-01,59.28,59.85,58.86,59.39,3437079
2017-05-02,59.47,59.74,59.17,59.19,2684592
2017-05-03,59.22,59.36,58.78,59.31,2237264
2017-05-04,59.49,59.54,58.49,58.5,2609543
2017-05-05,58.39,58.94,57.89,58.75,4270043
2017-05-08,57.91,57.97,56.81,57.2,4730238
2017-05-09,57.48,58.3,57.33,58.04,3084702
2017-05-10,57.99,58.53,57.83,58.33,2842655
2017-05-11,58.25,58.3,57.37,57.46,3400327
2017-05-12,58.1,59.14,58.09,58.65,4192032
2017-05-15,58.65,58.7,58.13,58.3,2662280
2017-05-16,58.25,58.72,57.82,58.1,3220751
2017-05-17,57.63,57.66,56.75,56.84,4702932
2017-05-18,56.46,57.46,56.33,56.85,3643643
2017-05-19,57.01,57.72,56.54,56.77,3950082
2017-05-22,57.48,57.98,57.25,57.7,4428567
2017-05-23,57.9,58.56,57.37,57.53,2673675
2017-05-24,57.47,57.75,57.38,57.53,1751672
2017-05-25,57.5,58.1,57.31,57.95,2303214
2017-05-26,58.04,58.49,57.82,58.02,1741642
2017-05-30,58.04,58.95,58.04,58.7,3143053
2017-05-31,58.91,59.47,58.21,59.13,4644529
2017-06-01,59.56,62.36,59.55,62.05,9716017
2017-06-02,62.0,62.76,61.63,62.55,4715620
2017-06-05,62.47,62.77,62.0,62.41,3044275
2017-06-06,62.31,64.16,62.03,63.66,5598690
2017-06-07,63.66,63.97,63.11,63.86,3272539
2017-06-08,63.8,64.71,63.56,64.63,3905315
2017-06-09,64.55,64.89,62.51,63.69,4220717
2017-06-12,63.68,64.29,62.88,63.95,2793747
2017-06-13,64.36,65.3,64.36,64.87,3174603
2017-06-14,64.64,65.59,64.55,65.24,3874175
2017-06-15,64.6,64.97,64.33,64.77,2251634
2017-06-16,64.97,65.12,64.53,64.99,3131899
2017-06-19,65.53,66.22,65.32,66.12,4092411
2017-06-20,65.09,65.2,64.32,64.62,2969434
2017-06-21,64.39,64.72,64.27,64.57,1832889
2017-06-22,64.59,64.69,64.16,64.34,1583913
2017-06-23,64.3,64.98,63.77,64.97,2253955
2017-06-26,64.98,65.3,64.24,64.49,2568684
2017-06-27,64.63,65.1,64.08,64.14,2054684
2017-06-28,64.48,65.1,64.19,64.95,1897306
2017-06-29,64.85,64.9,62.88,63.51,2751588
2017-06-30,63.6,64.34,63.33,63.89,2483523
2017-07-03,63.3,63.46,62.12,62.63,2667810
2017-07-05,62.66,63.06,62.26,62.77,2316197
2017-07-06,62.25,62.55,61.45,61.55,3215688
2017-07-07,61.76,61.99,61.29,61.77,5525924
2017-07-10,61.76,62.55,61.55,62.17,3038126
2017-07-11,62.26,62.5,61.57,61.89,2100258
2017-07-12,62.07,62.69,62.07,62.28,1733723
2017-07-13,62.66,62.66,61.58,62.17,2514886
2017-07-14,60.18,61.31,59.7,61.07,5870558
2017-07-17,61.0,61.27,60.38,61.14,2807909
2017-07-18,61.64,62.81,61.3,62.47,2907741
2017-07-19,62.62,62.67,61.52,61.92,2166833
2017-07-20,62.15,62.37,61.75,62.16,2067596
2017-07-21,62.25,62.77,62.25,62.36,1761001
2017-07-24,62.57,63.42,62.47,62.71,2577260
2017-07-25,62.97,63.0,61.9,62.62,4178728
2017-07-26,62.0,62.74,61.65,61.65,5064445
2017-07-27,61.46,62.9,60.9,62.27,4247287
2017-07-28,62.19,62.83,60.0,61.28,2928649
2017-07-31,61.65,62.64,61.61,61.61,4128279
2017-08-01,62.1,62.38,61.08,61.23,3092388
2017-08-02,61.44,61.59,60.01,60.54,3664806
2017-08-03,60.54,61.09,60.32,60.78,2124385
2017-08-04,60.74,61.59,60.37,60.97,1898359
2017-08-07,61.22,61.73,60.93,61.07,2437779
2017-08-08,61.19,61.75,60.76,61.0,3351451
2017-08-09,60.61,60.91,60.37,60.78,3295495
2017-08-10,60.61,61.19,60.1,60.16,4397628
2017-08-11,60.02,60.37,59.49,59.66,3053489
2017-08-14,60.13,60.9,60.02,60.79,3118775
2017-08-15,61.02,61.97,60.9,61.86,2895560
2017-08-16,62.02,62.25,61.29,61.54,2091788
2017-08-17,61.5,61.82,60.03,60.11,2876364
2017-08-18,59.95,60.41,59.16,60.01,2830601
2017-08-21,60.24,60.52,59.81,60.25,2077831
2017-08-22,60.4,61.18,60.39,60.57,2103168
2017-08-23,59.84,60.33,59.55,59.89,1894344
2017-08-24,59.94,60.31,59.72,60.24,1527822
2017-08-25,59.85,60.41,59.59,60.12,1542376
2017-08-28,60.45,60.52,59.85,60.28,2313141
2017-08-29,59.99,60.84,59.92,60.71,1548335
2017-08-30,60.9,60.98,60.37,60.56,1298214
2017-08-31,60.85,62.27,60.68,62.21,2837484
2017-09-01,63.0,63.2,62.33,62.87,2591357
2017-09-05,62.54,63.25,61.87,62.66,2200340
2017-09-06,62.86,63.58,62.77,63.26,2634937
2017-09-07,63.46,63.87,63.26,63.39,2250937
2017-09-08,63.48,63.57,62.9,63.12,1956506
2017-09-11,63.31,64.39,63.3,64.28,3002570
2017-09-12,64.25,64.67,63.67,64.48,2152606
2017-09-13,64.46,64.76,63.91,64.44,2236298
2017-09-14,64.32,64.38,63.79,64.09,3079335
2017-09-15,63.86,63.9,63.2,63.25,2957845
2017-09-18,63.48,64.03,63.4,63.63,2339800
2017-09-19,63.97,64.91,63.85,64.53,2990639
2017-09-20,63.93,64.04,62.95,63.63,2742992
2017-09-21,63.63,63.95,63.24,63.62,2045568
2017-09-22,63.5,64.01,63.36,63.57,1345170
2017-09-25,63.12,63.46,62.29,62.31,2174888
2017-09-26,62.87,63.32,62.44,63.17,1378846
2017-09-27,63.47,64.31,63.29,64.16,2428496
2017-09-28,64.04,64.1,63.49,63.64,2645769
2017-09-29,64.15,64.64,63.85,64.16,2271072
2017-10-02,63.1,65.38,62.82,64.97,4541393
2017-10-03,65.0,65.45,64.47,64.89,2170919
2017-10-04,64.89,65.4,64.46,65.06,2359801
2017-10-05,65.05,65.89,64.8,65.04,2233044
2017-10-06,64.07,64.59,63.47,64.26,2792674
2017-10-09,63.76,63.94,63.01,63.66,2970405
2017-10-10,64.14,64.43,63.27,63.36,2743335
2017-10-11,63.43,63.83,63.21,63.32,1946835
2017-10-12,63.1,63.45,61.53,61.68,5107196
2017-10-13,61.79,62.44,60.92,62.01,4231548
2017-10-16,62.38,63.29,62.24,62.8,3144106
2017-10-17,62.6,62.72,62.07,62.31,1901409
2017-10-18,62.32,62.53,61.86,61.89,2000351
2017-10-19,61.49,62.44,61.21,62.34,2308381
2017-10-20,62.69,62.81,62.28,62.69,2128958
2017-10-23,62.61,63.65,62.55,63.13,3119955
2017-10-24,63.35,63.48,62.81,63.15,2883193
2017-10-25,63.21,64.31,62.55,62.91,3776877
2017-10-26,64.0,64.2,60.88,62.58,5236097
2017-10-27,62.58,62.6,60.85,61.75,4076375
2017-10-30,61.64,61.86,60.88,61.46,2225923
2017-10-31,62.78,63.75,62.08,63.38,3876688
2017-11-01,65.0,65.0,64.17,64.37,4626378
2017-11-02,64.35,65.17,64.2,64.9,3066373
2017-11-03,64.59,65.93,64.41,65.88,3493340
2017-11-06,65.87,67.38,65.8,66.55,3201600
2017-11-07,67.67,68.41,67.27,67.34,3421963
2017-11-08,67.35,67.98,67.01,67.9,3387864
2017-11-09,67.37,67.95,66.85,67.42,2952568
2017-11-10,67.43,67.84,67.27,67.4,1877748
2017-11-13,67.2,67.72,66.89,67.25,3620524
2017-11-14,66.96,67.44,66.32,67.27,2364658
2017-11-15,66.72,66.75,64.5,66.25,2033516
2017-11-16,66.54,67.2,66.49,66.68,2511401
2017-11-17,66.7,67.04,66.34,66.5,1573013
2017-11-20,66.85,67.46,66.81,67.08,2066972
2017-11-21,67.16,67.87,67.16,67.79,2538418
2017-11-22,67.56,67.9,67.39,67.7,1886958
2017-11-24,67.69,67.94,67.47,67.65,749161
2017-11-27,67.56,67.92,67.45,67.76,1425065
2017-11-28,67.67,68.44,67.5,68.36,4138485
2017-11-29,68.49,68.5,67.02,67.56,2866659
2017-11-30,67.5,69.31,67.15,69.29,3992011
2017-12-01,69.69,70.46,68.49,69.84,3352734
2017-12-04,70.18,70.32,69.46,69.78,2702930
2017-12-05,69.5,70.24,69.02,69.44,1894221
2017-12-06,69.19,69.31,68.22,68.75,2797276
2017-12-07,68.94,69.71,68.73,69.6,1829073
2017-12-08,69.98,70.84,69.92,70.36,2842090
2017-12-11,71.13,71.42,70.55,71.07,3153253
2017-12-12,71.0,71.0,70.01,70.08,2105623
2017-12-13,70.76,70.94,70.2,70.83,3623258
2017-12-14,70.89,71.2,70.49,70.55,2265687
2017-12-15,70.66,70.8,70.1,70.5,2190589
2017-12-18,70.82,71.6,70.25,71.12,3475943
2017-12-19,71.43,72.2,71.38,71.97,3382232
2017-12-20,71.1,71.18,70.5,70.76,3555085
2017-12-21,70.84,70.97,70.2,70.3,3277957
2017-12-22,70.12,70.12,69.53,69.74,2196472
2017-12-26,69.61,70.32,69.5,70.13,945888
2017-12-27,70.19,70.97,70.1,70.84,1681306
2017-12-28,70.61,70.85,69.91,69.98,1331480
2017-12-29,69.98,70.0,69.46,69.49,1863376
2018-01-02,69.0,69.86,68.5,69.1,2908188
2018-01-03,69.12,69.22,67.58,68.32,4645863
2018-01-04,68.67,68.88,67.94,68.15,3495440
2018-01-05,68.71,68.96,67.5,67.92,4004850
2018-01-08,68.08,68.66,67.58,68.0,2875054
2018-01-09,69.0,69.74,68.7,69.52,2972393
2018-01-10,69.11,70.09,68.93,70.04,2933662
2018-01-11,70.25,70.7,69.63,70.63,2901771
2018-01-12,70.71,71.24,70.49,71.02,2914785
2018-01-16,73.16,73.98,72.06,72.67,4980646
2018-01-17,72.99,74.16,72.88,73.51,4289084
2018-01-18,73.53,74.25,73.06,73.73,3654191
2018-01-19,73.82,75.0,73.78,74.51,3396030
2018-01-22,75.62,77.28,75.15,77.1,6841422
2018-01-23,77.4,78.57,77.16,77.66,4591763
2018-01-24,77.82,78.56,77.23,77.44,6287739
2018-01-25,77.09,77.5,74.7,75.36,7026809
2018-01-26,75.81,76.08,74.52,75.5,7810301
2018-01-29,75.27,79.84,75.13,79.03,8797297
2018-01-30,78.4,79.59,77.9,78.38,6925789
2018-01-31,78.96,79.22,77.14,77.52,4886055
2018-02-01,77.64,79.28,77.2,78.21,4567508
2018-02-02,76.71,77.02,75.1,75.18,3755135
2018-02-05,74.69,75.49,71.94,72.38,6098460
2018-02-06,71.1,74.4,70.55,74.11,5975922
2018-02-07,74.26,74.73,73.2,73.43,3779303
2018-02-08,74.1,74.23,70.87,70.99,4681275
2018-02-09,71.4,71.62,68.13,71.0,6199937
2018-02-12,71.85,72.59,70.93,71.54,2813793
2018-02-13,71.6,73.25,71.6,73.15,4221656
2018-02-14,72.67,74.81,72.61,74.45,2756667
2018-02-15,75.29,75.71,74.38,74.84,2280738
2018-02-16,74.91,75.81,74.62,75.02,1840546
2018-02-20,74.32,75.27,74.15,75.04,2336218
2018-02-21,75.22,76.17,75.01,75.06,1993356
2018-02-22,75.04,75.38,72.48,72.95,4257939
2018-02-23,73.42,74.33,73.35,74.33,1801826
2018-02-26,74.57,74.85,73.95,73.95,2100167
2018-02-27,74.2,74.32,73.02,73.04,2631848
2018-02-28,73.29,73.76,72.81,72.81,2410044
2018-03-01,72.5,72.83,70.6,70.85,2900358
2018-03-02,70.0,71.63,69.26,71.51,3074699
2018-03-05,71.18,71.82,69.93,71.57,1873720
2018-03-06,72.03,72.93,71.88,72.64,2462573
2018-03-07,71.75,73.36,71.68,73.04,2308152
2018-03-08,74.6,77.15,74.28,76.62,5754518
2018-03-09,76.61,77.01,75.1,76.47,3062302
2018-03-12,76.6,77.0,75.45,75.63,3270176
2018-03-13,75.87,76.15,73.44,73.86,3147731
2018-03-14,74.0,74.55,73.24,73.9,3332253
2018-03-15,74.19,75.31,73.92,74.77,1975732
2018-03-16,74.77,75.17,74.49,75.05,2079126
2018-03-19,74.75,75.28,74.45,75.05,2524112
2018-03-20,74.9,75.49,74.78,75.15,1753042
2018-03-21,74.03,74.71,72.73,73.32,2889449
2018-03-22,72.74,72.82,71.33,71.34,3250876
2018-03-23,71.35,71.6,69.31,69.32,3926175
2018-03-26,70.6,71.04,69.94,70.45,5961480
2018-03-27,71.53,73.15,71.0,71.66,4180928
2018-03-28,71.68,71.86,70.36,70.78,3150638
2018-03-29,71.26,72.24,70.84,71.9,6249654
2018-04-02,72.7,73.61,70.06,70.58,2704174
2018-04-03,71.2,71.2,70.06,70.95,1972588
2018-04-04,69.5,70.14,68.46,70.04,5175767
2018-04-05,70.71,71.9,70.36,71.11,4065456
2018-04-06,70.23,70.75,68.62,69.22,2292399
2018-04-09,69.71,70.83,69.46,69.88,2494800
2018-04-10,71.11,71.91,70.88,71.41,3295492
2018-04-11,70.88,71.81,70.76,70.85,1763487
2018-04-12,71.23,72.8,71.04,72.37,4233744
2018-04-13,73.25,73.25,71.53,71.82,2234013
2018-04-16,72.26,73.26,71.69,72.95,1934621
2018-04-17,73.71,74.29,73.34,73.5,2547257
2018-04-18,73.68,75.58,73.68,74.42,3372364
2018-04-19,75.0,75.0,73.83,73.84,3040618
2018-04-20,73.97,74.49,73.66,73.89,2758636
2018-04-23,73.9,74.98,73.68,74.44,2380731
2018-04-24,74.98,75.0,73.29,73.79,2125880
2018-04-25,73.42,73.95,71.97,72.34,4083092
2018-04-26,73.4,74.5,72.55,73.11,4937428
2018-04-27,73.39,73.39,72.18,72.33,2282758
2018-04-30,72.95,73.85,72.84,73.33,2653800
2018-05-01,73.89,75.01,73.61,74.86,3493465
2018-05-02,74.78,75.7,74.56,75.25,3853871
2018-05-03,75.0,75.68,73.98,75.36,2737572
2018-05-04,75.1,76.95,74.95,76.38,2435427
2018-05-07,76.75,77.27,76.17,76.88,2886343
2018-05-08,76.88,77.49,76.35,76.64,2907324
2018-05-09,76.78,77.96,76.66,77.89,2052360
2018-05-10,78.05,79.62,77.82,79.0,2682853
2018-05-11,78.83,78.83,77.92,78.14,2554429
2018-05-14,78.14,78.64,76.52,77.49,4299055
2018-05-15,77.45,78.1,76.66,77.88,2353780
2018-05-16,77.65,78.7,77.61,78.36,1819074
2018-05-17,78.5,79.23,77.39,78.06,2301231
2018-05-18,78.06,78.39,77.83,77.91,2433545
2018-05-21,78.97,79.76,78.88,79.26,2723065
2018-05-22,79.29,79.52,78.81,79.0,1724517
2018-05-23,78.54,79.3,78.08,79.3,1823557
