date,open,high,low,close,volume
2017-01-03,59.8,60.25,59.6,60.06,508245
2017-01-04,60.1,60.87,59.98,60.01,1016200
2017-01-05,60.27,60.87,60.11,60.6,915940
2017-01-06,60.76,61.16,60.35,60.62,598020
2017-01-09,60.75,60.8,60.28,60.4,264577
2017-01-10,60.72,61.31,60.34,60.68,705212
2017-01-11,60.47,60.98,60.31,60.93,444990
2017-01-12,60.89,61.0,60.31,60.57,406801
2017-01-13,60.76,60.87,60.28,60.6,358154
2017-01-17,60.46,60.71,60.31,60.51,424680
2017-01-18,60.71,61.05,60.44,60.61,367780
2017-01-19,60.5,60.65,59.97,60.13,469869
2017-01-20,60.07,60.62,60.06,60.54,459573
2017-01-23,60.25,61.04,60.08,60.89,432481
2017-01-24,60.89,61.39,60.77,61.25,420093
2017-01-25,61.4,61.81,60.77,60.79,484599
2017-01-26,60.86,61.3,60.09,60.83,1001453
2017-01-27,60.79,60.9,60.3,60.5,264003
2017-01-30,60.4,60.53,59.46,59.65,695516
2017-01-31,59.69,59.8,59.42,59.58,396685
2017-02-01,59.59,60.4,59.39,60.35,724071
2017-02-02,60.56,60.73,60.17,60.52,717516
2017-02-03,60.59,60.78,60.24,60.69,368646
2017-02-06,60.54,60.82,60.32,60.57,1273315
2017-02-07,60.41,60.68,59.73,59.85,919406
2017-02-08,60.11,62.03,59.82,60.8,1807132
2017-02-09,60.97,61.44,60.3,60.48,589459
2017-02-10,60.52,60.79,60.27,60.5,416425
2017-02-13,60.73,61.02,60.07,60.29,400890
2017-02-14,60.22,60.96,60.03,60.91,1080583
2017-02-15,60.62,61.72,60.6,61.64,603758
2017-02-16,61.95,62.09,61.56,61.79,668785
2017-02-17,61.7,61.95,61.18,61.65,346672
2017-02-21,61.65,61.76,61.03,61.16,1034763
2017-02-22,62.0,62.63,58.65,59.08,1807571
2017-02-23,59.69,59.78,58.82,59.36,1137374
2017-02-24,59.32,59.46,57.9,59.34,1351334
2017-02-27,58.66,60.17,58.43,60.01,1445243
2017-02-28,60.03,60.97,59.99,60.61,1119882
2017-03-01,61.19,61.2,59.52,59.85,1062070
2017-03-02,59.65,60.16,59.32,59.78,601743
2017-03-03,59.79,59.79,58.68,59.15,1629114
2017-03-06,59.01,60.0,58.67,59.84,1025479
2017-03-07,59.64,59.97,59.1,59.13,541845
2017-03-08,59.42,59.75,58.93,59.21,467635
2017-03-09,59.36,59.63,59.06,59.3,407144
2017-03-10,59.47,59.84,59.24,59.7,365847
2017-03-13,59.91,60.57,59.17,59.22,721099
2017-03-14,59.12,59.36,58.72,58.94,340446
2017-03-15,59.03,59.19,58.71,59.04,321977
2017-03-16,59.04,59.08,58.46,58.94,314999
2017-03-17,58.8,59.38,58.65,59.38,636194
2017-03-20,59.38,59.41,58.22,58.52,412059
2017-03-21,58.64,58.78,57.61,57.76,751395
2017-03-22,57.8,57.8,57.05,57.58,486657
2017-03-23,57.54,57.82,57.34,57.65,465040
2017-03-24,58.0,59.04,57.89,58.61,571161
2017-03-27,58.26,58.62,57.68,58.52,424243
2017-03-28,58.59,58.86,57.96,58.29,409322
2017-03-29,58.3,58.58,57.78,58.52,412516
2017-03-30,58.86,59.82,58.72,59.7,756219
2017-03-31,59.75,59.8,59.26,59.49,682370
2017-04-03,59.43,59.43,58.78,58.93,768901
2017-04-04,58.69,58.71,58.19,58.32,507253
2017-04-05,58.54,58.69,57.38,57.59,798972
2017-04-06,57.07,57.97,57.01,57.75,740461
2017-04-07,57.71,57.99,57.23,57.53,520399
2017-04-10,57.47,57.83,57.29,57.46,503039
2017-04-11,57.35,57.79,57.16,57.78,566521
2017-04-12,57.72,58.19,57.25,57.6,633973
2017-04-13,57.89,58.64,57.48,58.01,881998
2017-04-17,58.03,59.97,57.76,59.8,1235548
2017-04-18,59.7,59.86,59.33,59.62,666252
2017-04-19,59.68,60.78,59.47,60.28,979662
2017-04-20,60.38,61.53,60.38,61.14,735711
2017-04-21,61.71,62.13,61.35,61.57,893666
2017-04-24,61.85,62.19,61.63,61.91,969829
2017-04-25,62.16,62.24,61.44,61.57,1056591
2017-04-26,62.0,65.19,61.26,64.88,2276637
2017-04-27,65.0,65.0,62.82,62.87,1726599
2017-04-28,62.91,62.96,62.0,62.61,1635783
2017-05-01,62.95,63.28,61.96,62.05,1008981
2017-05-02,62.05,62.08,61.33,61.8,1023654
2017-05-03,61.81,62.0,61.41,61.74,574517
2017-05-04,61.82,63.48,61.77,63.46,774313
2017-05-05,63.47,63.93,63.42,63.52,592212
2017-05-08,63.39,63.45,62.61,62.78,393094
2017-05-09,62.83,62.96,62.45,62.72,554953
2017-05-10,62.59,62.86,62.22,62.66,865484
2017-05-11,62.65,62.87,61.71,62.63,512177
2017-05-12,62.42,62.52,61.75,61.99,714024
2017-05-15,62.14,62.25,61.88,61.92,590237
2017-05-16,61.86,62.35,61.77,62.0,1115904
2017-05-17,61.75,61.95,60.82,61.26,614450
2017-05-18,61.26,61.95,61.03,61.74,1221890
2017-05-19,61.91,61.94,61.21,61.44,719255
2017-05-22,61.51,61.86,61.35,61.78,537746
2017-05-23,61.08,61.54,61.08,61.3,463200
2017-05-24,61.43,61.91,60.96,61.84,403289
2017-05-25,61.88,61.88,61.03,61.03,564145
2017-05-26,60.98,61.11,60.47,60.85,580281
2017-05-30,60.93,61.42,60.77,60.88,464451
2017-05-31,60.98,61.12,59.91,60.38,793049
2017-06-01,60.47,60.77,60.16,60.23,672841
2017-06-02,60.43,60.71,59.54,59.84,597983
2017-06-05,59.82,59.82,57.95,58.22,1516314
2017-06-06,58.07,58.74,57.6,58.34,1191398
2017-06-07,58.53,59.77,58.38,59.65,1176398
2017-06-08,59.7,61.61,59.41,61.01,1706273
2017-06-09,61.04,61.43,60.47,60.5,1201670
2017-06-12,60.38,60.73,59.91,60.03,862070
2017-06-13,60.25,60.3,59.12,59.55,940962
2017-06-14,59.66,60.05,59.38,59.65,657856
2017-06-15,59.48,59.54,58.48,58.55,696105
2017-06-16,58.5,58.67,58.26,58.43,1040348
2017-06-19,58.54,58.66,57.9,58.23,1297816
2017-06-20,58.12,58.37,57.14,57.77,1708537
2017-06-21,57.86,59.94,57.86,59.53,1303070
2017-06-22,59.5,61.71,59.18,60.8,1908816
2017-06-23,60.71,60.71,59.93,60.06,749556
2017-06-26,60.16,60.19,59.19,60.08,990274
2017-06-27,60.0,60.69,59.66,60.5,870113
2017-06-28,60.75,61.78,60.62,61.26,932093
2017-06-29,61.22,61.34,60.16,60.44,965930
2017-06-30,60.55,60.57,59.12,59.61,909256
2017-07-03,59.75,60.35,59.34,59.56,426598
2017-07-05,59.56,59.67,58.28,58.55,960698
2017-07-06,58.31,58.5,57.65,57.68,840494
2017-07-07,57.79,57.79,56.87,57.41,1557137
2017-07-10,57.46,57.81,57.18,57.7,986188
2017-07-11,57.69,58.41,57.24,58.23,969379
2017-07-12,58.5,59.99,58.36,59.51,1205372
2017-07-13,59.48,59.73,58.68,59.61,787243
2017-07-14,59.54,59.58,58.59,58.64,1205760
2017-07-17,58.67,59.63,58.15,59.05,834977
2017-07-18,59.25,59.25,55.59,57.01,4393746
2017-07-19,57.01,57.46,55.96,57.29,2261445
2017-07-20,57.4,57.4,55.77,56.28,1420326
2017-07-21,56.56,56.71,55.39,55.87,1440943
2017-07-24,55.9,56.27,55.54,55.62,1373891
2017-07-25,55.73,56.12,54.67,55.79,2313753
2017-07-26,55.23,59.98,55.11,59.23,6233481
2017-07-27,57.94,58.47,56.69,56.99,3146270
2017-07-28,56.78,58.43,56.78,57.99,1796571
2017-07-31,58.04,58.31,56.35,56.87,1313460
2017-08-01,57.23,57.74,56.68,56.86,1102313
2017-08-02,56.86,56.86,55.02,55.31,1300203
2017-08-03,55.4,55.78,54.96,55.6,878064
2017-08-04,55.7,56.52,55.37,56.28,610507
2017-08-07,56.37,56.68,55.28,55.33,900051
2017-08-08,55.15,56.17,54.6,55.37,1124139
2017-08-09,55.22,55.37,54.47,54.6,1458603
2017-08-10,54.4,54.85,54.19,54.51,871686
2017-08-11,54.26,54.99,54.15,54.32,1085237
2017-08-14,54.62,54.98,53.8,53.81,1383893
2017-08-15,53.93,54.28,53.39,53.8,1381261
2017-08-16,53.54,54.62,53.43,54.42,1109134
2017-08-17,54.46,55.18,54.11,54.75,882477
2017-08-18,54.66,54.86,53.39,53.89,1121862
2017-08-21,53.85,53.85,52.05,53.23,1572914
2017-08-22,53.29,53.42,52.8,53.22,833700
2017-08-23,53.1,53.16,51.73,52.28,1392885
2017-08-24,52.39,53.15,52.0,52.8,1110787
2017-08-25,52.85,53.23,52.25,53.07,855858
2017-08-28,53.19,53.19,51.68,51.9,1179600
2017-08-29,51.28,52.63,51.25,52.38,980975
2017-08-30,52.78,53.59,52.47,53.12,940714
2017-08-31,53.74,55.26,53.6,54.57,1910328
2017-09-01,54.28,54.65,53.47,53.62,1430189
2017-09-05,53.47,53.74,52.73,53.23,1099715
2017-09-06,53.21,53.92,52.85,53.6,987274
2017-09-07,53.55,53.61,51.98,52.1,1138419
