date,open,high,low,close,volume
2017-01-03,56.25,57.2,56.17,56.95,3383005
2017-01-04,57.05,57.44,56.34,56.61,4155422
2017-01-05,56.52,56.91,55.4,56.14,2657112
2017-01-06,56.19,56.63,56.0,56.4,1786481
2017-01-09,56.8,56.81,56.17,56.19,2130881
2017-01-10,56.48,57.12,56.39,56.69,2535001
2017-01-11,56.7,57.58,56.52,57.57,2685833
2017-01-12,57.39,57.5,56.77,57.47,2551152
2017-01-13,57.55,57.7,56.93,57.12,2964516
2017-01-17,56.8,57.08,56.0,56.31,3152560
2017-01-18,56.43,57.35,56.26,57.22,2575446
2017-01-19,58.5,59.32,58.28,58.43,5955059
2017-01-20,58.5,58.9,58.39,58.83,4193906
2017-01-23,58.69,58.93,58.0,58.29,3174517
2017-01-24,58.51,59.44,58.3,59.11,3202092
2017-01-25,59.59,60.38,59.42,60.26,4133113
2017-01-26,60.19,60.93,59.81,60.08,3469556
2017-01-27,60.56,60.56,60.01,60.14,3260633
2017-01-30,60.1,60.11,58.73,59.14,5213912
2017-01-31,59.08,59.1,58.24,58.66,5894458
2017-02-01,58.5,59.1,58.37,58.78,2954532
2017-02-02,58.61,59.12,58.42,58.88,6198965
2017-02-03,59.12,59.56,58.84,59.54,3523090
2017-02-06,59.3,59.96,59.28,59.86,6248054
2017-02-07,61.3,63.5,61.02,62.54,10588333
2017-02-08,62.0,62.51,61.67,62.41,5735491
2017-02-09,62.59,63.48,62.46,62.71,3457275
2017-02-10,62.69,63.4,62.69,63.26,4619032
2017-02-13,63.46,64.27,63.45,64.15,4056958
2017-02-14,63.69,64.36,63.55,64.14,3949199
2017-02-15,63.61,63.87,63.13,63.73,5215621
2017-02-16,63.58,63.59,62.38,62.9,6228880
2017-02-17,62.52,62.55,61.7,61.89,5091075
2017-02-21,62.05,62.21,61.7,62.17,4569114
2017-02-22,61.75,62.17,61.72,61.82,3411219
2017-02-23,61.77,61.97,60.39,60.61,4824736
2017-02-24,60.22,60.51,59.79,60.48,7139458
2017-02-27,60.5,60.76,60.12,60.43,3501228
2017-02-28,60.26,60.51,59.88,60.1,4204867
2017-03-01,60.75,61.39,60.65,60.88,6216434
2017-03-02,60.88,61.08,60.09,60.31,3559793
2017-03-03,60.92,60.92,60.08,60.37,2335536
2017-03-06,60.2,60.51,59.8,60.33,3278744
2017-03-07,60.24,60.56,60.05,60.22,3749898
2017-03-08,60.46,60.49,59.69,59.79,2809600
2017-03-09,59.8,59.97,58.86,59.28,3580059
2017-03-10,59.59,59.93,59.28,59.52,3478330
2017-03-13,59.6,60.14,59.42,60.13,4333420
2017-03-14,59.55,59.55,58.41,58.97,3162592
2017-03-15,59.21,60.55,59.21,60.27,4197864
2017-03-16,60.33,60.59,60.16,60.23,3108399
2017-03-17,60.44,60.78,59.91,60.6,4896113
2017-03-20,60.56,60.6,59.95,60.1,2270091
2017-03-21,60.14,60.51,58.85,58.96,4011683
2017-03-22,58.97,59.18,58.6,59.12,3264312
2017-03-23,59.12,59.43,58.82,58.99,2569889
2017-03-24,58.98,59.36,58.38,58.57,3160240
2017-03-27,58.03,58.56,57.45,58.43,2587727
2017-03-28,58.42,59.68,58.24,59.44,2799042
2017-03-29,59.17,59.74,59.07,59.55,2447395
2017-03-30,59.45,59.83,59.35,59.61,2393074
2017-03-31,59.45,60.28,59.45,59.86,3420096
2017-04-03,59.8,60.3,59.16,59.82,4280400
2017-04-04,59.65,59.9,59.35,59.71,1967542
2017-04-05,60.13,60.9,59.38,59.56,3237011
2017-04-06,59.53,59.95,59.27,59.69,3005225
2017-04-07,59.63,59.72,59.15,59.36,2162145
2017-04-10,59.48,60.23,59.37,59.62,1968064
2017-04-11,59.47,59.8,59.08,59.73,2685905
2017-04-12,59.64,59.73,58.21,58.42,3550893
2017-04-13,58.31,58.67,57.86,57.87,3469509
2017-04-17,58.22,58.46,57.74,58.4,3621798
2017-04-18,57.99,58.8,57.89,58.41,2904712
2017-04-19,58.8,58.95,57.96,58.21,2528354
2017-04-20,58.61,59.44,58.48,59.17,3484549
2017-04-21,59.2,59.3,58.91,59.0,3316697
2017-04-24,59.91,59.99,59.43,59.86,3541199
2017-04-25,60.76,61.51,60.54,61.22,4565630
2017-04-26,61.22,61.63,61.02,61.22,3140807
2017-04-27,61.39,61.5,60.48,60.83,3713162
2017-04-28,60.81,60.92,60.03,60.28,3384601
2017-05-01,60.06,60.52,59.85,60.37,3797116
2017-05-02,57.71,59.2,56.77,59.16,13249395
2017-05-03,58.94,59.89,58.8,59.27,5053866
2017-05-04,59.34,59.35,57.74,58.17,4693927
