date,open,high,low,close,volume
2017-01-03,118.78,119.47,116.97,117.97,2989083
2017-01-04,118.32,119.27,117.76,118.97,2279656
2017-01-05,118.41,119.03,116.6,117.38,2405024
2017-01-06,118.21,119.74,117.85,119.05,3004595
2017-01-09,118.31,118.5,117.07,118.2,3294387
2017-01-10,118.01,118.85,117.53,118.67,2914675
2017-01-11,117.93,121.33,117.52,121.33,4408649
2017-01-12,120.13,120.3,116.73,117.93,3970843
2017-01-13,118.96,121.25,117.18,118.79,4034665
2017-01-17,117.94,117.99,113.7,113.93,4301543
2017-01-18,114.69,116.39,113.66,116.32,3086183
2017-01-19,116.67,117.3,115.04,115.61,2589922
2017-01-20,116.29,117.59,115.99,117.35,2876759
2017-01-23,116.81,117.86,116.5,116.93,2485828
2017-01-24,117.5,119.44,116.92,118.66,2565978
2017-01-25,120.0,121.19,119.53,121.01,2572865
2017-01-26,121.17,121.98,120.74,121.63,1947010
2017-01-27,121.34,121.9,120.89,121.64,1609030
2017-01-30,120.97,121.11,119.64,120.38,1995378
2017-01-31,120.16,121.02,119.59,120.46,2620211
2017-02-01,121.66,122.58,121.02,121.14,2673240
2017-02-02,120.2,120.76,119.0,120.01,2091268
2017-02-03,122.18,122.42,121.06,122.16,1955170
2017-02-06,121.61,122.82,121.34,122.41,1563899
2017-02-07,122.81,123.25,121.28,121.47,2680907
2017-02-08,122.2,122.2,120.5,121.46,2892366
2017-02-09,122.1,122.93,121.28,122.39,2076709
2017-02-10,123.3,123.54,122.68,123.1,2098991
2017-02-13,124.0,125.35,123.62,124.42,1929560
2017-02-14,124.54,126.23,123.77,126.1,2420152
2017-02-15,126.28,127.92,125.37,127.76,2589522
2017-02-16,127.3,127.66,126.0,126.96,1930751
2017-02-17,125.73,126.89,125.45,126.86,1733953
2017-02-21,127.2,127.84,126.77,127.55,1748584
2017-02-22,126.78,128.52,126.69,127.76,1541742
2017-02-23,127.84,128.23,126.84,128.14,1221184
2017-02-24,126.92,127.42,126.14,126.88,2586302
2017-02-27,127.19,128.49,126.8,128.13,1895252
2017-02-28,127.36,127.98,126.66,127.23,2343402
2017-03-01,130.48,131.83,129.86,130.85,3367209
2017-03-02,130.98,131.01,127.39,127.51,2092398
2017-03-03,127.41,128.25,126.98,127.83,2493339
2017-03-06,126.76,127.93,126.09,127.59,2289926
2017-03-07,127.4,128.05,126.4,127.4,1764846
2017-03-08,128.92,129.34,127.46,127.55,2258545
2017-03-09,128.04,129.29,127.24,127.48,3436263
2017-03-10,128.25,128.49,125.44,126.46,3731065
2017-03-13,126.65,126.88,125.71,126.4,1815075
2017-03-14,125.9,126.42,124.69,126.22,1660623
2017-03-15,126.74,126.74,124.62,125.23,2106627
2017-03-16,125.77,126.28,124.9,125.72,2413552
2017-03-17,125.92,126.21,124.35,124.35,5739019
2017-03-20,124.16,125.31,123.74,123.79,2575992
2017-03-21,124.13,124.34,118.59,118.7,6316964
2017-03-22,117.9,119.3,116.49,118.65,4424006
2017-03-23,118.67,121.26,118.15,119.28,4002600
2017-03-24,119.9,120.58,118.59,119.4,2425890
2017-03-27,116.5,118.44,115.25,118.2,3440326
2017-03-28,118.06,120.81,117.72,120.27,2657551
2017-03-29,120.07,120.64,119.29,119.34,1758596
2017-03-30,119.22,122.0,119.22,121.53,2091810
2017-03-31,120.97,121.25,120.16,120.24,2189212
2017-04-03,120.65,121.0,118.34,119.84,2124214
2017-04-04,119.33,119.99,118.68,119.15,1871660
2017-04-05,120.78,121.02,118.14,118.29,1872829
2017-04-06,118.25,119.79,117.48,119.26,2072094
2017-04-07,118.52,119.84,118.0,119.17,1921633
2017-04-10,119.08,119.64,117.89,118.37,2084250
2017-04-11,117.44,118.07,116.07,118.03,3339546
2017-04-12,116.99,117.7,115.87,116.0,3039142
2017-04-13,118.0,120.65,115.6,115.8,5112426
2017-04-17,115.98,118.53,115.45,118.41,3241210
2017-04-18,117.41,118.43,115.77,116.41,2916001
2017-04-19,117.46,118.37,115.97,116.48,2275075
2017-04-20,117.31,119.19,116.7,118.83,2053899
2017-04-21,118.55,119.47,117.83,118.17,1960568
2017-04-24,121.0,121.8,120.17,120.86,2727741
2017-04-25,122.06,122.73,121.07,121.11,2955553
2017-04-26,121.29,122.99,121.1,122.0,2052154
2017-04-27,122.17,122.46,120.14,121.02,1555986
2017-04-28,120.69,121.57,119.74,119.75,1865162
2017-05-01,120.69,121.86,119.86,121.15,1857433
2017-05-02,121.49,121.77,119.83,120.66,1597558
2017-05-03,120.06,122.59,119.77,122.44,1675473
2017-05-04,123.69,124.44,122.76,123.45,2076324
2017-05-05,123.76,123.86,122.37,123.12,1696973
